"replicate_index","scenario_label","data_n","data_set_index","global_data_set_index","data_set_attempt","start_index","true_beta_1","true_beta_2","true_beta_3","true_gamma_1","true_gamma_2","gamma_start_1","gamma_start_2","censoring_proportion","treated_above","treated_below","control_above","control_below","skipped","skip_reason","converged","error","beta_1_value","beta_1_bias","beta_1_absolute_bias","beta_1_rmse","beta_1_squared_bias","beta_1_interval_lower","beta_1_interval_upper","beta_1_covered","beta_2_value","beta_2_bias","beta_2_absolute_bias","beta_2_rmse","beta_2_squared_bias","beta_2_interval_lower","beta_2_interval_upper","beta_2_covered","beta_3_value","beta_3_bias","beta_3_absolute_bias","beta_3_rmse","beta_3_squared_bias","beta_3_interval_lower","beta_3_interval_upper","beta_3_covered","gamma_1_value","gamma_1_bias","gamma_1_absolute_bias","gamma_1_rmse","gamma_1_squared_bias","gamma_1_interval_lower","gamma_1_interval_upper","gamma_1_covered","gamma_2_value","gamma_2_bias","gamma_2_absolute_bias","gamma_2_rmse","gamma_2_squared_bias","gamma_2_interval_lower","gamma_2_interval_upper","gamma_2_covered"
33,"n600-b1_1-b2_2p8-b3_2p5",600,1,321,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.09,201,95,189,115,FALSE,NA,TRUE,NA,-0.159466185668863,-0.159466185668863,0.159466185668863,0.159466185668863,0.0254294643717763,-0.473888645609042,0.152765088524049,1,0.79215605572031,-0.237462944279691,0.237462944279691,0.237462944279691,0.0563886499059794,0.540347483703466,1.05137976183194,1,1.03650241305693,0.120211713056933,0.120211713056933,0.120211713056933,0.0144508559560825,0.65880553657334,1.41869850221737,1,1.51984856759969,0.0198485675996942,0.0198485675996942,0.0198485675996942,0.000393965635759631,1.40843245383231,1.61922387370206,1,1.84526410900311,0.045264109003109,0.045264109003109,0.045264109003109,0.00204883956384533,1.77097532029649,1.90374440362164,1
33,"n600-b1_1-b2_2p8-b3_2p5",600,2,322,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.106666666666667,187,94,208,111,FALSE,NA,TRUE,NA,0.172763903799822,0.172763903799822,0.172763903799822,0.172763903799822,0.0298473664561541,-0.152967476175285,0.499228161121776,1,1.07543450079651,0.045815500796514,0.045815500796514,0.045815500796514,0.00209906011323537,0.802816755989057,1.35260864974344,1,0.786488021174761,-0.129802678825239,0.129802678825239,0.129802678825239,0.0168487354302082,0.405855622448343,1.16667306121832,1,1.45087957478566,-0.0491204252143369,0.0491204252143369,0.0491204252143369,0.00241281617323726,1.35344829705425,1.64352832777165,1,1.81395290564701,0.0139529056470125,0.0139529056470125,0.0139529056470125,0.000194683575994432,1.72176160945674,2.04598559510175,1
33,"n600-b1_1-b2_2p8-b3_2p5",600,3,323,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.0966666666666667,199,89,212,100,FALSE,NA,TRUE,NA,-0.166133753822289,-0.166133753822289,0.166133753822289,0.166133753822289,0.0276004241590849,-0.503671875818314,0.16648031202629,1,0.847499384387072,-0.182119615612928,0.182119615612928,0.182119615612928,0.0331675543910007,0.583637382310601,1.12199691728039,1,1.04907398870936,0.132783288709362,0.132783288709362,0.132783288709362,0.0176314017604737,0.652149711937461,1.44388469343916,1,1.46605797893658,-0.0339420210634178,0.0339420210634178,0.0339420210634178,0.0011520607938695,1.35701963209903,1.58198226013235,1,1.76369068611294,-0.0363093138870623,0.0363093138870623,0.0363093138870623,0.00131836627494921,1.66861747964815,1.88673390622497,1
33,"n600-b1_1-b2_2p8-b3_2p5",600,4,324,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.0783333333333334,199,97,210,94,FALSE,NA,TRUE,NA,-0.134931603602833,-0.134931603602833,0.134931603602833,0.134931603602833,0.0182065376508321,-0.458255403969928,0.184301473687989,1,0.973224324215137,-0.0563946757848629,0.0563946757848629,0.0563946757848629,0.0031803594568798,0.700410579405137,1.25432771105994,1,1.1748157932652,0.258525093265198,0.258525093265198,0.258525093265198,0.0668352238477792,0.787707928062501,1.56167182504513,1,1.4604809928655,-0.0395190071344982,0.0395190071344982,0.0395190071344982,0.00156175192489652,1.38734479360359,1.5466960675159,1,1.7221051883038,-0.0778948116961968,0.0778948116961968,0.0778948116961968,0.00606760168918596,1.60206646962203,1.82553745706932,1
33,"n600-b1_1-b2_2p8-b3_2p5",600,5,325,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.0933333333333334,184,101,204,111,FALSE,NA,TRUE,NA,-0.038416631509169,-0.038416631509169,0.038416631509169,0.038416631509169,0.00147583757651127,-0.344502403659757,0.270721363714403,1,1.0509091230602,0.0212901230602016,0.0212901230602016,0.0212901230602016,0.000453269339918529,0.782778865635381,1.32371017528205,1,0.943237145216617,0.0269464452166173,0.0269464452166173,0.0269464452166173,0.000726110909812155,0.568761826195727,1.31165875916387,1,1.55786432704608,0.0578643270460821,0.0578643270460821,0.0578643270460821,0.00334828034449595,1.4987020394816,1.65588803384658,1,1.84878690580542,0.0487869058054227,0.0487869058054227,0.0487869058054227,0.00238016217806718,1.78339459684824,1.92784537969268,1
33,"n600-b1_1-b2_2p8-b3_2p5",600,6,326,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.12,180,110,201,109,FALSE,NA,TRUE,NA,-0.0235564422834073,-0.0235564422834073,0.0235564422834073,0.0235564422834073,0.000554905973051498,-0.334118842100852,0.285075003589798,1,1.01199653027777,-0.0176224697222314,0.0176224697222314,0.0176224697222314,0.000310551439110961,0.746929880602201,1.28399040327299,1,0.907994424466633,-0.00829627553336676,0.00829627553336676,0.00829627553336676,6.88281877255399e-05,0.529585205108693,1.28748818403571,1,1.51502765626259,0.0150276562625944,0.0150276562625944,0.0150276562625944,0.000225830452746692,1.4613588384194,1.59893631711348,1,1.82093505718618,0.0209350571861848,0.0209350571861848,0.0209350571861848,0.000438276619388829,1.75649047294504,1.90814476318154,1
33,"n600-b1_1-b2_2p8-b3_2p5",600,7,327,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.0983333333333334,191,103,204,102,FALSE,NA,TRUE,NA,0.24224260421499,0.24224260421499,0.24224260421499,0.24224260421499,0.0586814792968602,-0.0806760634579317,0.562755308789251,1,1.20166370749265,0.17204470749265,0.17204470749265,0.17204470749265,0.0295993813762316,0.917513001810308,1.49175631103662,1,0.673148933047036,-0.243141766952964,0.243141766952964,0.243141766952964,0.0591179188370093,0.288764782437487,1.05631488280952,1,1.46308848880559,-0.0369115111944105,0.0369115111944105,0.0369115111944105,0.00136245965865509,1.42157347537635,1.50867679407636,1,1.74473128209414,-0.055268717905864,0.055268717905864,0.055268717905864,0.00305463117895797,1.68577664617365,1.85975222530644,1
33,"n600-b1_1-b2_2p8-b3_2p5",600,8,328,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.103333333333333,196,101,186,117,FALSE,NA,TRUE,NA,0.0443211215317599,0.0443211215317599,0.0443211215317599,0.0443211215317599,0.00196436181383303,-0.274159035787851,0.36005401378242,1,1.03547338657045,0.00585438657045412,0.00585438657045412,0.00585438657045412,3.42738421163135e-05,0.771182036029998,1.30384426360199,1,0.943745578070239,0.0274548780702386,0.0274548780702386,0.0274548780702386,0.000753770329851669,0.56188605397803,1.3288994250694,1,1.44882421398026,-0.0511757860197397,0.0511757860197397,0.0511757860197397,0.00261896107473819,1.32108069379652,1.86981982498722,1,1.7705859491596,-0.0294140508404011,0.0294140508404011,0.0294140508404011,0.000865186386841698,1.67564383807061,2.05461479199972,1
33,"n600-b1_1-b2_2p8-b3_2p5",600,9,329,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.106666666666667,200,118,189,93,FALSE,NA,TRUE,NA,0.0281100274535721,0.0281100274535721,0.0281100274535721,0.0281100274535721,0.000790173643440579,-0.291284968894124,0.352481668715562,1,1.08747559012234,0.0578565901223378,0.0578565901223378,0.0578565901223378,0.00334738502058419,0.792656737263396,1.38676012371354,1,0.914342747292574,-0.00194795270742576,0.00194795270742576,0.00194795270742576,3.79451975036735e-06,0.535025828447874,1.29603004470251,1,1.5953708861426,0.0953708861426017,0.0953708861426017,0.0953708861426017,0.0090956059236251,1.48036842135814,1.76989375506149,1,1.86311329434539,0.0631132943453871,0.0631132943453871,0.0631132943453871,0.00398328792312748,1.74238426805577,2.02502682030068,1
33,"n600-b1_1-b2_2p8-b3_2p5",600,10,330,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.1,192,97,198,113,FALSE,NA,TRUE,NA,-0.21857618502273,-0.21857618502273,0.21857618502273,0.21857618502273,0.0477755486590908,-0.540791515998266,0.0979566624893701,1,0.809487701984464,-0.220131298015536,0.220131298015536,0.220131298015536,0.0484577883660049,0.550384372964348,1.07038111753069,1,1.17314863895049,0.256857938950493,0.256857938950493,0.256857938950493,0.0659760008018951,0.790235997983547,1.56023619031742,1,1.5152356923136,0.0152356923136006,0.0152356923136006,0.0152356923136006,0.000232126320274707,1.37883263378317,1.63723298617799,1,1.85546886838538,0.0554688683853759,0.0554688683853759,0.0554688683853759,0.00307679535995415,1.76373146795088,2.06077026166181,1
