"replicate_index","scenario_label","data_n","data_set_index","global_data_set_index","data_set_attempt","start_index","true_beta_1","true_beta_2","true_beta_3","true_gamma_1","true_gamma_2","gamma_start_1","gamma_start_2","censoring_proportion","treated_above","treated_below","control_above","control_below","skipped","skip_reason","converged","error","beta_1_value","beta_1_bias","beta_1_absolute_bias","beta_1_rmse","beta_1_squared_bias","beta_1_interval_lower","beta_1_interval_upper","beta_1_covered","beta_2_value","beta_2_bias","beta_2_absolute_bias","beta_2_rmse","beta_2_squared_bias","beta_2_interval_lower","beta_2_interval_upper","beta_2_covered","beta_3_value","beta_3_bias","beta_3_absolute_bias","beta_3_rmse","beta_3_squared_bias","beta_3_interval_lower","beta_3_interval_upper","beta_3_covered","gamma_1_value","gamma_1_bias","gamma_1_absolute_bias","gamma_1_rmse","gamma_1_squared_bias","gamma_1_interval_lower","gamma_1_interval_upper","gamma_1_covered","gamma_2_value","gamma_2_bias","gamma_2_absolute_bias","gamma_2_rmse","gamma_2_squared_bias","gamma_2_interval_lower","gamma_2_interval_upper","gamma_2_covered"
37,"n600-b1_2-b2_2p5-b3_2p8",600,1,361,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.0866666666666667,215,107,183,95,FALSE,NA,TRUE,NA,0.524550633342229,-0.168596566657771,0.168596566657771,0.168596566657771,0.0284248022887883,0.204231335702289,0.849985249573381,1,0.68073043654893,-0.23556026345107,0.23556026345107,0.23556026345107,0.0554886377171376,0.392459089001173,0.977839086299893,1,1.30857424575477,0.278955245754767,0.278955245754767,0.278955245754767,0.0778160291341025,0.918532703032843,1.71207485466685,1,1.29475757240285,-0.205242427597149,0.205242427597149,0.205242427597149,0.0421244540859708,1.18446813927004,1.53124212106979,1,1.77467167256862,-0.0253283274313834,0.0253283274313834,0.0253283274313834,0.000641524170471367,1.58120673679163,2.04863629853618,1
37,"n600-b1_2-b2_2p5-b3_2p8",600,2,362,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.0683333333333334,207,95,194,104,FALSE,NA,TRUE,NA,0.73501263708963,0.0418654370896301,0.0418654370896301,0.0418654370896301,0.00175271482270577,0.421981403590501,1.05114364926059,1,1.0481732003842,0.131882500384203,0.131882500384203,0.131882500384203,0.0173929939075894,0.769374000962343,1.33250458024449,1,1.06824164962843,0.0386226496284274,0.0386226496284274,0.0386226496284274,0.00149170906432027,0.675855401586708,1.46405783991856,1,1.37015990277824,-0.129840097221762,0.129840097221762,0.129840097221762,0.0168584508465566,1.26930898452209,1.48721196032989,0,1.76685398707507,-0.0331460129249339,0.0331460129249339,0.0331460129249339,0.00109865817281989,1.61967173393699,1.95543874293976,1
37,"n600-b1_2-b2_2p5-b3_2p8",600,3,363,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.0883333333333334,208,105,180,107,FALSE,NA,TRUE,NA,0.720645288701654,0.0274980887016538,0.0274980887016538,0.0274980887016538,0.000756144882244022,0.413772793686314,1.03379528305961,1,0.873301291252367,-0.0429894087476331,0.0429894087476331,0.0429894087476331,0.00184808926447108,0.597765717396824,1.15495456996331,1,1.00193345675251,-0.0276855432474878,0.0276855432474878,0.0276855432474878,0.00076648930490852,0.614481344461299,1.38371252729913,1,1.51057409835474,0.0105740983547375,0.0105740983547375,0.0105740983547375,0.000111811556015663,1.42397626251401,1.71994209399171,1,1.88677306780075,0.0867730678007474,0.0867730678007474,0.0867730678007474,0.00752956529555311,1.80361062669358,2.11901027181328,0
37,"n600-b1_2-b2_2p5-b3_2p8",600,4,364,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.0783333333333334,182,108,207,103,FALSE,NA,TRUE,NA,0.685077111779573,-0.00807008822042665,0.00807008822042665,0.00807008822042665,6.5126323885469e-05,0.385936281651406,0.983610853184793,1,0.946652749359385,0.0303620493593846,0.0303620493593846,0.0303620493593846,0.000921854041301706,0.681828868226142,1.2252172930095,1,0.844939474437379,-0.184679525562621,0.184679525562621,0.184679525562621,0.0341065271620346,0.477310016686274,1.21852595628358,1,1.57933813839784,0.0793381383978409,0.0793381383978409,0.0793381383978409,0.00629454020443495,1.43426807562353,1.68310499459305,1,1.89144737018666,0.0914473701866598,0.0914473701866598,0.0914473701866598,0.008362621514056,1.78717056801082,1.975268656231,1
37,"n600-b1_2-b2_2p5-b3_2p8",600,5,365,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.0583333333333333,205,104,187,104,FALSE,NA,TRUE,NA,0.380509159133625,-0.312638040866375,0.312638040866375,0.312638040866375,0.0977425445967651,0.0715503883828597,0.686677690269024,0,0.798497331499234,-0.117793368500766,0.117793368500766,0.117793368500766,0.0138752776627573,0.526915408472635,1.0821215694288,1,1.27467730479797,0.24505830479797,0.24505830479797,0.24505830479797,0.0600535727504549,0.882004600653092,1.67185295279716,1,1.39941873247893,-0.100581267521073,0.100581267521073,0.100581267521073,0.0101165913761457,1.25422261587274,1.60569494563753,1,1.77470130993959,-0.0252986900604073,0.0252986900604073,0.0252986900604073,0.000640023718772551,1.66765988826771,2.02076983890068,1
37,"n600-b1_2-b2_2p5-b3_2p8",600,6,366,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.0733333333333334,198,92,226,84,FALSE,NA,TRUE,NA,0.877235371339009,0.184088171339009,0.184088171339009,0.184088171339009,0.0338884548269403,0.544562137229404,1.21390350334434,1,1.03805749372754,0.121766793727537,0.121766793727537,0.121766793727537,0.0148271520546846,0.748395325224374,1.33757078073809,1,0.950489291686669,-0.0791297083133312,0.0791297083133312,0.0791297083133312,0.00626151073775288,0.550982632072566,1.34793053780146,1,1.39802142744667,-0.101978572553327,0.101978572553327,0.101978572553327,0.0103996292600142,1.32254820343583,1.57362489641815,1,1.80451563189367,0.00451563189366921,0.00451563189366921,0.00451563189366921,2.03909313991226e-05,1.74708450130006,1.94335290345377,1
37,"n600-b1_2-b2_2p5-b3_2p8",600,7,367,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.075,206,98,190,106,FALSE,NA,TRUE,NA,0.638387602323289,-0.0547595976767113,0.0547595976767113,0.0547595976767113,0.00299861353771529,0.333364975884369,0.945676639049087,1,0.86096572917289,-0.0553249708271096,0.0553249708271096,0.0553249708271096,0.00306085239702053,0.585284020593813,1.14019574261126,1,1.16256601207628,0.132947012076284,0.132947012076284,0.132947012076284,0.0176749080200116,0.778626484794144,1.55305347526346,1,1.5201823292075,0.0201823292074979,0.0201823292074979,0.0201823292074979,0.000407326412239821,1.43220997705632,1.65319428178248,1,1.71080092411674,-0.0891990758832557,0.0891990758832557,0.0891990758832557,0.00795647513842681,1.57444998436878,2.00104300559018,1
37,"n600-b1_2-b2_2p5-b3_2p8",600,8,368,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.0649999999999999,204,105,197,94,FALSE,NA,TRUE,NA,0.743580730889394,0.0504335308893937,0.0504335308893937,0.0504335308893937,0.00254354103797143,0.439313617787955,1.04836506245349,1,0.804940616132248,-0.111350083867752,0.111350083867752,0.111350083867752,0.0123988411773555,0.531981363272131,1.08288431871909,1,0.928174726383559,-0.101444273616441,0.101444273616441,0.101444273616441,0.0102909406495673,0.548701559556501,1.30609164348782,1,1.46785298485671,-0.0321470151432857,0.0321470151432857,0.0321470151432857,0.00103343058262264,1.42033369103675,1.55339254182236,1,1.8708147186504,0.0708147186504005,0.0708147186504005,0.0708147186504005,0.00501472437753537,1.65103846830275,2.09452991196291,1
37,"n600-b1_2-b2_2p5-b3_2p8",600,9,369,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.0683333333333334,220,100,200,80,FALSE,NA,TRUE,NA,0.724517191705525,0.0313699917055246,0.0313699917055246,0.0313699917055246,0.00098407637960468,0.398726264027722,1.05768516340773,1,0.979804774126259,0.0635140741262591,0.0635140741262591,0.0635140741262591,0.00403403761211593,0.679509677900509,1.29249691901558,1,0.957143319449179,-0.0724756805508215,0.0724756805508215,0.0724756805508215,0.00525272427130473,0.560612780894916,1.35333609035381,1,1.46765976250819,-0.0323402374918107,0.0323402374918107,0.0323402374918107,0.00104589096102672,1.35431154746447,1.58799927759749,1,1.8194932885156,0.0194932885156045,0.0194932885156045,0.0194932885156045,0.000379988297152598,1.73589019073032,2.0285900745478,1
37,"n600-b1_2-b2_2p5-b3_2p8",600,10,370,1,1,0.6931472,0.9162907,1.029619,1.5,1.8,1,1.3,0.0600000000000001,186,98,231,85,FALSE,NA,TRUE,NA,0.472983420887294,-0.220163779112706,0.220163779112706,0.220163779112706,0.0484720896331883,0.148020634780606,0.795543189461802,1,0.636389166843497,-0.279901533156503,0.279901533156503,0.279901533156503,0.0783448682633608,0.358529065849639,0.923328481745217,1,1.35145667424682,0.321837674246816,0.321837674246816,0.321837674246816,0.103579488564599,0.953042521725409,1.74965065556384,1,1.48388129558996,-0.0161187044100388,0.0161187044100388,0.0161187044100388,0.000259812631858205,1.16345511322642,1.64198307477211,1,1.8348335896917,0.0348335896917007,0.0348335896917007,0.0348335896917007,0.00121337897080976,1.70250142401277,2.01575729478732,1
