"replicate_index","data_set_index","global_data_set_index","start_index","true_beta_1","true_beta_2","true_beta_3","true_gamma_1","true_gamma_2","gamma_start_1","gamma_start_2","treated_above","treated_below","control_above","control_below","skipped","skip_reason","converged","error","beta_1_value","beta_1_bias","beta_1_absolute_bias","beta_1_rmse","beta_1_squared_bias","beta_2_value","beta_2_bias","beta_2_absolute_bias","beta_2_rmse","beta_2_squared_bias","beta_3_value","beta_3_bias","beta_3_absolute_bias","beta_3_rmse","beta_3_squared_bias","gamma_1_value","gamma_1_bias","gamma_1_absolute_bias","gamma_1_rmse","gamma_1_squared_bias","gamma_2_value","gamma_2_bias","gamma_2_absolute_bias","gamma_2_rmse","gamma_2_squared_bias"
16,1,151,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,204,115,181,100,FALSE,NA,TRUE,NA,0.371467388721833,-0.0339977193863311,0.0339977193863311,0.0339977193863311,0.00115584492347171,0.0854938023741604,-0.0968277544197942,0.0968277544197942,0.0968277544197942,0.00937561402597998,0.905784880760489,0.212637700200544,0.212637700200544,0.212637700200544,0.0452147915465764,1.71970134206408,0.219701342064077,0.219701342064077,0.219701342064077,0.0482686797047568,1.72336732153538,-0.0766326784646167,0.0766326784646167,0.0766326784646167,0.00587256740866134
16,2,152,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,209,115,177,99,FALSE,NA,TRUE,NA,0.506096328443831,0.100631220335667,0.100631220335667,0.100631220335667,0.0101266425062455,0.263827802229901,0.0815062454359464,0.0815062454359464,0.0815062454359464,0.00664326804506473,0.468545935130356,-0.224601245429589,0.224601245429589,0.224601245429589,0.0504457194485225,1.30081490379292,-0.199185096207082,0.199185096207082,0.199185096207082,0.0396747025510246,1.75893455231514,-0.0410654476848562,0.0410654476848562,0.0410654476848562,0.00168637099355766
16,3,153,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,211,93,212,84,FALSE,NA,TRUE,NA,0.143598448207027,-0.261866659901138,0.261866659901138,0.261866659901138,0.0685741475677782,0.150865870146982,-0.0314556866469723,0.0314556866469723,0.0314556866469723,0.000989460222432513,0.819582574320919,0.126435393760974,0.126435393760974,0.126435393760974,0.0159859087954925,1.5822229857657,0.0822229857657026,0.0822229857657026,0.0822229857657026,0.00676061938822694,1.70033832671114,-0.0996616732888604,0.0996616732888604,0.0996616732888604,0.00993244912273556
16,4,154,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,196,112,200,92,FALSE,NA,TRUE,NA,0.393561473726883,-0.0119036343812811,0.0119036343812811,0.0119036343812811,0.000141696511483218,0.414512078673526,0.232190521879571,0.232190521879571,0.232190521879571,0.0539124384507076,0.646191512045015,-0.0469556685149299,0.0469556685149299,0.0469556685149299,0.00220483480568398,1.44246829443865,-0.0575317055613498,0.0575317055613498,0.0575317055613498,0.00330989714479785,1.88125831327172,0.0812583132717164,0.0812583132717164,0.0812583132717164,0.0066029134757644
16,5,155,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,213,91,181,115,FALSE,NA,TRUE,NA,0.00516197953841229,-0.400303128569752,0.400303128569752,0.400303128569752,0.160242594742731,-0.17904544283781,-0.361366999631764,0.361366999631764,0.361366999631764,0.130586108422863,1.11438544202071,0.42123826146076,0.42123826146076,0.42123826146076,0.177441672918484,1.37744818365963,-0.122551816340373,0.122551816340373,0.122551816340373,0.0150189476883246,1.74102506564136,-0.0589749343586352,0.0589749343586352,0.0589749343586352,0.00347804288260533
16,6,156,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,201,109,197,93,FALSE,NA,TRUE,NA,0.289407599774365,-0.116057508333799,0.116057508333799,0.116057508333799,0.0134693452406499,0.163961606825201,-0.0183599499687534,0.0183599499687534,0.0183599499687534,0.000337087762855128,0.741150205353771,0.0480030247938257,0.0480030247938257,0.0480030247938257,0.00230429038935664,1.51574013898591,0.0157401389859118,0.0157401389859118,0.0157401389859118,0.000247751975295819,1.64172981290303,-0.158270187096971,0.158270187096971,0.158270187096971,0.0250494521237101
16,7,157,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,217,90,195,98,FALSE,NA,TRUE,NA,0.249046533891765,-0.1564185742164,0.1564185742164,0.1564185742164,0.0244667703598914,0.0437145695084187,-0.138606987285536,0.138606987285536,0.138606987285536,0.0192118969243727,0.958160628868621,0.265013448308676,0.265013448308676,0.265013448308676,0.0702321277844554,1.4049691475085,-0.0950308524914985,0.0950308524914985,0.0950308524914985,0.00903086292526094,1.89013347083312,0.0901334708331232,0.0901334708331232,0.0901334708331232,0.00812404256442547
16,8,158,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,200,116,192,92,FALSE,NA,TRUE,NA,0.750845900848034,0.34538079273987,0.34538079273987,0.34538079273987,0.119287891993621,0.275767314821402,0.093445758027447,0.093445758027447,0.093445758027447,0.00873210969332418,0.512318537727162,-0.180828642832783,0.180828642832783,0.180828642832783,0.0326989980687463,1.36385003196706,-0.136149968032936,0.136149968032936,0.136149968032936,0.0185368137953695,1.78507203054064,-0.0149279694593631,0.0149279694593631,0.0149279694593631,0.000222844272179679
16,9,159,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,181,103,201,115,FALSE,NA,TRUE,NA,0.247273217940623,-0.158191890167541,0.158191890167541,0.158191890167541,0.0250246741147795,-0.00317114108103981,-0.185492697874994,0.185492697874994,0.185492697874994,0.034407540964944,1.01826587428037,0.325118693720424,0.325118693720424,0.325118693720424,0.105702165006475,1.10880767861198,-0.391192321388025,0.391192321388025,0.391192321388025,0.153031432312952,1.69825081739872,-0.10174918260128,0.10174918260128,0.10174918260128,0.0103528961600286
16,10,160,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,200,108,181,111,FALSE,NA,TRUE,NA,0.442735655490777,0.0372705473826124,0.0372705473826124,0.0372705473826124,0.00138909370219955,0.319638304923369,0.137316748129415,0.137316748129415,0.137316748129415,0.0188558893168371,0.562179498560566,-0.130967681999379,0.130967681999379,0.130967681999379,0.0171525337282906,1.26369438837965,-0.236305611620346,0.236305611620346,0.236305611620346,0.055840342083266,1.44597734953792,-0.354022650462075,0.354022650462075,0.354022650462075,0.125332037040193
