"replicate_index","scenario_label","data_n","data_set_index","global_data_set_index","data_set_attempt","start_index","true_beta_1","true_beta_2","true_beta_3","true_gamma_1","true_gamma_2","gamma_start_1","gamma_start_2","censoring_proportion","treated_above","treated_below","control_above","control_below","skipped","skip_reason","converged","error","beta_1_value","beta_1_bias","beta_1_absolute_bias","beta_1_rmse","beta_1_squared_bias","beta_1_interval_lower","beta_1_interval_upper","beta_1_covered","beta_2_value","beta_2_bias","beta_2_absolute_bias","beta_2_rmse","beta_2_squared_bias","beta_2_interval_lower","beta_2_interval_upper","beta_2_covered","beta_3_value","beta_3_bias","beta_3_absolute_bias","beta_3_rmse","beta_3_squared_bias","beta_3_interval_lower","beta_3_interval_upper","beta_3_covered","gamma_1_value","gamma_1_bias","gamma_1_absolute_bias","gamma_1_rmse","gamma_1_squared_bias","gamma_1_interval_lower","gamma_1_interval_upper","gamma_1_covered","gamma_2_value","gamma_2_bias","gamma_2_absolute_bias","gamma_2_rmse","gamma_2_squared_bias","gamma_2_interval_lower","gamma_2_interval_upper","gamma_2_covered"
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,1,21,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.095,330,156,339,175,FALSE,NA,TRUE,NA,-0.0260402808590298,-0.0260402808590298,0.0260402808590298,0.0260402808590298,0.000678096227217155,-0.276796792372926,0.228051706307667,1,1.11700542580883,0.0873864258088275,0.0873864258088275,0.0873864258088275,0.00763638741564171,0.907997305950546,1.32971595676041,1,0.888982157106159,-0.0273085428938413,0.0273085428938413,0.0273085428938413,0.000745756514984772,0.590157866992374,1.18653416221631,1,1.50014834388198,0.000148343881976931,0.000148343881976931,0.000148343881976931,2.20059073199857e-08,1.47640678099722,1.56673091661427,1,1.78611261861684,-0.0138873813831637,0.0138873813831637,0.0138873813831637,0.000192859361681442,1.75596294561317,1.84939742181119,1
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,2,22,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.094,339,168,311,182,FALSE,NA,TRUE,NA,0.100968620438274,0.100968620438274,0.100968620438274,0.100968620438274,0.0101946623132082,-0.138959251999546,0.345231874948509,1,1.09994244473579,0.0703234447357906,0.0703234447357906,0.0703234447357906,0.00494538687950779,0.89244255891032,1.30875943872613,1,0.811452557965545,-0.104838142034455,0.104838142034455,0.104838142034455,0.0109910360252365,0.520656311569152,1.09767117709653,1,1.52502389872197,0.0250238987219722,0.0250238987219722,0.0250238987219722,0.000626195507247522,1.49536295205088,1.54725291715379,1,1.75284044164204,-0.0471595583579583,0.0471595583579583,0.0471595583579583,0.00222402394451767,1.72851394731989,1.811862588071,1
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,3,23,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.096,330,167,335,168,FALSE,NA,TRUE,NA,0.0218635413167084,0.0218635413167084,0.0218635413167084,0.0218635413167084,0.000478014438907417,-0.223899559833278,0.266042771560931,1,1.09903823492117,0.0694192349211715,0.0694192349211715,0.0694192349211715,0.0048190301770408,0.886508068931412,1.31293713403278,1,0.840104246351074,-0.0761864536489257,0.0761864536489257,0.0761864536489257,0.00580437571959991,0.547482540073385,1.13415130840563,1,1.53261345766271,0.0326134576627108,0.0326134576627108,0.0326134576627108,0.00106363762071743,1.47471588849612,1.6111777226913,1,1.84747242299168,0.0474724229916754,0.0474724229916754,0.0474724229916754,0.00225363094470055,1.78857389959624,1.96132034101033,1
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,4,24,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.102,347,179,324,150,FALSE,NA,TRUE,NA,-0.210679118320193,-0.210679118320193,0.210679118320193,0.210679118320193,0.044385690896174,-0.461775639140209,0.0430580861087985,1,0.770202560874608,-0.259416439125392,0.259416439125392,0.259416439125392,0.0672968888884981,0.553837822096631,0.994684108846254,0,1.31022356317795,0.393932863177946,0.393932863177946,0.393932863177946,0.155183100691574,1.00497175808454,1.60992759351417,0,1.45232988922613,-0.0476701107738684,0.0476701107738684,0.0476701107738684,0.00227243946119288,1.41635405231472,1.50493894316899,1,1.75476659596816,-0.0452334040318354,0.0452334040318354,0.0452334040318354,0.00204606084030726,1.72522236501905,1.80573490130444,1
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,5,25,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.091,331,167,345,157,FALSE,NA,TRUE,NA,-0.21789370141027,-0.21789370141027,0.21789370141027,0.21789370141027,0.047477665114268,-0.469096842287061,0.0337139786619794,1,0.969406611555169,-0.0602123884448315,0.0602123884448315,0.0602123884448315,0.00362553172223127,0.758151617070533,1.18584179057494,1,1.01466100834468,0.0983703083446794,0.0983703083446794,0.0983703083446794,0.0096767175638273,0.7175551783184,1.31200143153086,1,1.44357907583368,-0.0564209241663214,0.0564209241663214,0.0564209241663214,0.00318332068378179,1.32745540425951,1.54869224964329,1,1.79514585563609,-0.00485414436390741,0.00485414436390741,0.00485414436390741,2.35627175056541e-05,1.75086444398573,1.87843403411488,1
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,6,26,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.103,314,178,324,184,FALSE,NA,TRUE,NA,-0.00632559157724192,-0.00632559157724192,0.00632559157724192,0.00632559157724192,4.00131088020739e-05,-0.246260597702968,0.23075331319964,1,0.879268441412357,-0.150350558587643,0.150350558587643,0.150350558587643,0.0226052904676163,0.677066644345224,1.08430026895043,1,0.975500951469155,0.0592102514691546,0.0592102514691546,0.0592102514691546,0.00350585387904052,0.683633792875093,1.26833569800331,1,1.3625649314956,-0.137435068504404,0.137435068504404,0.137435068504404,0.0188883980548103,1.28670501997483,1.46856115532702,0,1.74210986044233,-0.0578901395576694,0.0578901395576694,0.0578901395576694,0.00335126825800644,1.61209745872987,1.87875158922051,1
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,7,27,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.097,328,162,328,182,FALSE,NA,TRUE,NA,-0.217351796164422,-0.217351796164422,0.217351796164422,0.217351796164422,0.0472418032959004,-0.45866895606538,0.0247521989416624,1,0.964464607772457,-0.0651543922275432,0.0651543922275432,0.0651543922275432,0.00424509482654054,0.758084868954647,1.17330708578828,1,1.02744705995585,0.111156359955846,0.111156359955846,0.111156359955846,0.0123557363586335,0.736471001231896,1.32028081899807,1,1.47895046860082,-0.0210495313991765,0.0210495313991765,0.0210495313991765,0.000443082772124919,1.44032450034128,1.52717050596178,1,1.78568672893034,-0.0143132710696607,0.0143132710696607,0.0143132710696607,0.000204869728713587,1.75000800407296,1.82130495440805,1
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,8,28,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.097,350,183,318,149,FALSE,NA,TRUE,NA,-0.0651813098397693,-0.0651813098397693,0.0651813098397693,0.0651813098397693,0.00424860315242801,-0.308397909932929,0.184206016656897,1,1.0162529419124,-0.0133660580875976,0.0133660580875976,0.0133660580875976,0.000178651508801033,0.796834102132774,1.24175915430828,1,1.13254181645898,0.216251116458979,0.216251116458979,0.216251116458979,0.046764545369755,0.834980011192469,1.42507733118577,1,1.52319681723502,0.0231968172350239,0.0231968172350239,0.0231968172350239,0.0005380923298351,1.45452060295426,1.57868595980913,1,1.82220490433923,0.0222049043392329,0.0222049043392329,0.0222049043392329,0.000493057776714486,1.75501256907465,1.89769754066765,1
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,9,29,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.082,328,171,337,164,FALSE,NA,TRUE,NA,0.0373554262190647,0.0373554262190647,0.0373554262190647,0.0373554262190647,0.00139542786800799,-0.204560681341404,0.277082958621518,1,0.964777949857831,-0.0648410501421689,0.0648410501421689,0.0648410501421689,0.00420436178353926,0.749473900904596,1.18489887347357,1,0.954241883824246,0.0379511838242458,0.0379511838242458,0.0379511838242458,0.00144029235366169,0.662267522351055,1.2490626623483,1,1.51159423606082,0.0115942360608201,0.0115942360608201,0.0115942360608201,0.000134426309834021,1.43632772942682,1.63504118233865,1,1.77931701982909,-0.0206829801709092,0.0206829801709092,0.0206829801709092,0.000427785668750223,1.68476876116333,1.88046639519755,1
3,"n1000-b1_1-b2_2p8-b3_2p5",1000,10,30,1,1,0,1.029619,0.9162907,1.5,1.8,1,1.3,0.1,332,176,310,182,FALSE,NA,TRUE,NA,-0.265184398377306,-0.265184398377306,0.265184398377306,0.265184398377306,0.0703227651427335,-0.501332670405124,-0.0255812256773171,0,0.896537307542894,-0.133081692457106,0.133081692457106,0.133081692457106,0.0177107368672479,0.690787723029642,1.10757438998985,1,1.1922786286266,0.2759879286266,0.2759879286266,0.2759879286266,0.0761693367476014,0.898450739822208,1.48172459666197,1,1.50726235833682,0.0072623583368161,0.0072623583368161,0.0072623583368161,5.27418486123223e-05,1.48700317126285,1.55027627526374,1,1.80477722311091,0.004777223110906,0.004777223110906,0.004777223110906,2.28218606513744e-05,1.78868709591105,1.8674521261645,1
