"biomarker_pair","parameter","estimate","interval_90_lower","interval_90_upper"
"HER2_CA19-9","beta_treatment",0.0755110327224004,-1.10214826475547,1.17150250736417
"HER2_CA19-9","beta_subgroup",0.238167086798441,-0.518104827797063,0.824524936433458
"HER2_CA19-9","beta_treatment_x_subgroup",-0.304772415789949,-1.44648665041131,0.990623778624665
"HER2_CA19-9","gamma_bio30",0.47959418365025,-0.538833974718188,1.55441220135296
"HER2_CA19-9","gamma_bio3",0.0105041365722356,-1.3245133910294,0.948794229428164
"HER2_Axl","beta_treatment",-0.328325917686649,-2.00931165000178,0.930384093622307
"HER2_Axl","beta_subgroup",0.10887231512247,-0.645767010463125,0.790219263711363
"HER2_Axl","beta_treatment_x_subgroup",0.120114490747258,-1.25399760689176,1.85622968457384
"HER2_Axl","gamma_bio30",0.0764473249070219,-1.03352199099462,1.09768538956224
"HER2_Axl","gamma_bio37",-0.148727336727176,-1.08777580865866,0.936964398464455
"CA19-9_Axl","beta_treatment",-0.859144819137161,-2.2221653297808,-0.167360539941757
"CA19-9_Axl","beta_subgroup",-0.115205839954171,-0.694527929134531,0.446262657913327
"CA19-9_Axl","beta_treatment_x_subgroup",0.758139772700766,0.0199176187595393,2.06221043832919
"CA19-9_Axl","gamma_bio3",0.641393335450754,-0.514090674838998,1.24557271196893
"CA19-9_Axl","gamma_bio37",-0.921163413997921,-1.82360657216383,-0.0476042222463957
