"parameter","label","initial_value","reference_value","estimate","posterior_sd","empirical_bias","interval_95_lower","interval_95_upper","interval_95_width","interval_covers_reference","split_rhat","effective_sample_size"
"beta_treatment","Treatment",-0.574399660848977,,-0.669787418914193,0.726425664251218,,-1.99757563581827,0.777854441947257,2.77543007776553,,1.00503267332577,1194.68725327725
"beta_subgroup","Biomarker-defined subgroup",-0.404689906548444,,0.0264722176997253,0.54347769984701,,-0.529361891481065,0.702364546424546,1.23172643790561,,1.00262341778991,1801.23960738563
"beta_treatment_x_subgroup","Treatment x subgroup",0.445066370360381,,0.548065664573031,0.767590040898403,,-1.09274306948496,1.86412716890462,2.95687023838958,,1.00561556407563,1028.30152449363
"gamma_bio30","HER-2 (bio30)",-0.6,,-0.175935304656024,0.565012492710993,,-1.05787887567166,1.19103387921481,2.24891275488648,,1.0060995101296,686.074746007053
"gamma_bio3","CA19-9 (bio3)",0.5,,0.388696031500421,0.565243504216611,,-0.896685683734812,1.30583296683504,2.20251865056986,,1.00132819072287,942.06753557249
"gamma_bio37","Axl (bio37)",0.5,,-0.647592912540971,0.684011729651011,,-1.9358888882608,0.935932532550991,2.87182142081179,,1.00498824768416,589.427520981599
