"replicate_index","scenario_label","data_n","data_set_index","global_data_set_index","data_set_attempt","start_index","true_beta_1","true_beta_2","true_beta_3","true_gamma_1","true_gamma_2","gamma_start_1","gamma_start_2","censoring_proportion","treated_above","treated_below","control_above","control_below","skipped","skip_reason","converged","error","beta_1_value","beta_1_bias","beta_1_absolute_bias","beta_1_rmse","beta_1_squared_bias","beta_1_interval_lower","beta_1_interval_upper","beta_1_covered","beta_2_value","beta_2_bias","beta_2_absolute_bias","beta_2_rmse","beta_2_squared_bias","beta_2_interval_lower","beta_2_interval_upper","beta_2_covered","beta_3_value","beta_3_bias","beta_3_absolute_bias","beta_3_rmse","beta_3_squared_bias","beta_3_interval_lower","beta_3_interval_upper","beta_3_covered","gamma_1_value","gamma_1_bias","gamma_1_absolute_bias","gamma_1_rmse","gamma_1_squared_bias","gamma_1_interval_lower","gamma_1_interval_upper","gamma_1_covered","gamma_2_value","gamma_2_bias","gamma_2_absolute_bias","gamma_2_rmse","gamma_2_squared_bias","gamma_2_interval_lower","gamma_2_interval_upper","gamma_2_covered"
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,1,61,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0628571428571428,466,218,473,243,FALSE,NA,TRUE,NA,0.745966228810468,0.0528190288104678,0.0528190288104678,0.0528190288104678,0.00278984980448103,0.544797789414137,0.949465007008822,1,1.04674389232784,0.0171248923278404,0.0171248923278404,0.0171248923278404,0.000293261937240128,0.866857736328323,1.23158151388471,1,0.9816305658903,-0.0479884341097,0.0479884341097,0.0479884341097,0.00230288980830102,0.731714610518122,1.23232613285905,1,1.50581017839977,0.00581017839976683,0.00581017839976683,0.00581017839976683,3.3758173037117e-05,1.49016403585461,1.53621875218851,1,1.81282970810188,0.0128297081018802,0.0128297081018802,0.0128297081018802,0.000164601409979451,1.78358919326804,1.85575163711528,1
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,2,62,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0721428571428572,434,226,497,243,FALSE,NA,TRUE,NA,0.79044649160051,0.0972992916005097,0.0972992916005097,0.0972992916005097,0.00946715214596101,0.585335256301039,0.992527673522845,1,1.13491121083559,0.105292210835595,0.105292210835595,0.105292210835595,0.0110864496626474,0.9553387360323,1.31814614951621,1,0.908476836247192,-0.121142163752809,0.121142163752809,0.121142163752809,0.0146754238387123,0.655614243753737,1.1579775125267,1,1.51681151968568,0.0168115196856802,0.0168115196856802,0.0168115196856802,0.000282627194142012,1.4953063957367,1.55004062375718,1,1.80052272099416,0.000522720994158288,0.000522720994158288,0.000522720994158288,2.73237237733829e-07,1.76415252350199,1.83199417630692,1
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,3,63,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0649999999999999,483,247,452,218,FALSE,NA,TRUE,NA,0.64261507444765,-0.0505321255523496,0.0505321255523496,0.0505321255523496,0.00255349571283843,0.44160204913927,0.84933148830875,1,0.943181469985574,-0.0864375300144258,0.0864375300144258,0.0864375300144258,0.00747144659499476,0.756961995083028,1.129964711077,1,1.09228465202545,0.0626656520254456,0.0626656520254456,0.0626656520254456,0.00392698394377424,0.84020482778025,1.3400390715184,1,1.50371911178199,0.00371911178198769,0.00371911178198769,0.00371911178198769,1.38317924469197e-05,1.44766392942627,1.53522566186941,1,1.83286412412038,0.0328641241203846,0.0328641241203846,0.0328641241203846,0.00108005065420005,1.78411406199289,1.88523571026891,1
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,4,64,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0571428571428572,446,257,491,206,FALSE,NA,TRUE,NA,0.63020928255863,-0.0629379174413698,0.0629379174413698,0.0629379174413698,0.00396118145185668,0.429032797121443,0.834687268308282,1,1.08816536284366,0.0585463628436624,0.0585463628436624,0.0585463628436624,0.00342767660222178,0.901585640251998,1.27807489585889,1,1.20506271807484,0.175443718074839,0.175443718074839,0.175443718074839,0.0307804982119236,0.947861281974993,1.45897214268496,1,1.50829965086699,0.00829965086699191,0.00829965086699191,0.00829965086699191,6.88842045139596e-05,1.49121523790869,1.54105933362374,1,1.80868014418893,0.00868014418892571,0.00868014418892571,0.00868014418892571,7.53449031405408e-05,1.79075249780851,1.83613646702716,1
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,5,65,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0607142857142857,460,212,490,238,FALSE,NA,TRUE,NA,0.560372894771067,-0.132774305228933,0.132774305228933,0.132774305228933,0.0176290161290259,0.357490193778153,0.761572610318269,1,0.970740605648223,-0.0588783943517769,0.0588783943517769,0.0588783943517769,0.00346666532144335,0.794842711802503,1.14670555680343,1,1.11855907286446,0.0889400728644596,0.0889400728644596,0.0889400728644596,0.00791033656113538,0.870758700698509,1.36873821023608,1,1.50063655549064,0.000636555490635349,0.000636555490635349,0.000636555490635349,4.0520289265801e-07,1.47011161183661,1.53184231712108,1,1.79797204566607,-0.0020279543339341,0.0020279543339341,0.0020279543339341,4.1125987805221e-06,1.77030886979121,1.83122045500588,1
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,6,66,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0607142857142857,466,249,467,218,FALSE,NA,TRUE,NA,0.704856370058082,0.0117091700580821,0.0117091700580821,0.0117091700580821,0.000137104663449087,0.500999640748204,0.906361866633715,1,1.17802280083163,0.148403800831628,0.148403800831628,0.148403800831628,0.0220236881012734,0.991523383830612,1.36475791351496,1,0.95394077899532,-0.0756782210046798,0.0756782210046798,0.0756782210046798,0.00572719313443316,0.703557914962359,1.20457543878047,1,1.50097241960974,0.000972419609737818,0.000972419609737818,0.000972419609737818,9.4559989740265e-07,1.47874352820886,1.53722526399738,1,1.76203144797481,-0.037968552025194,0.037968552025194,0.037968552025194,0.00144161094288986,1.73020279806361,1.81998713412279,1
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,7,67,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0600000000000001,458,237,469,236,FALSE,NA,TRUE,NA,0.69938165632873,0.00623445632872954,0.00623445632872954,0.00623445632872954,3.88684457148358e-05,0.499531740280121,0.898835206350001,1,1.0126293250543,-0.0169896749457001,0.0169896749457001,0.0169896749457001,0.000288649054760551,0.835333913532259,1.19288518259683,1,0.965433277386091,-0.064185722613909,0.064185722613909,0.064185722613909,0.00411980698746967,0.718273038588701,1.21397970361193,1,1.53451812458985,0.0345181245898485,0.0345181245898485,0.0345181245898485,0.0011915009252003,1.48818334212733,1.59555605834739,1,1.83655784977923,0.0365578497792325,0.0365578497792325,0.0365578497792325,0.00133647638048093,1.78714882786466,1.93803459278068,1
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,8,68,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0671428571428572,501,221,460,218,FALSE,NA,TRUE,NA,0.851549790001156,0.158402590001156,0.158402590001156,0.158402590001156,0.0250913805190743,0.639971012848386,1.06891359888992,1,1.09809463497536,0.0684756349753577,0.0684756349753577,0.0684756349753577,0.00468891258527843,0.91179599499964,1.29068683799114,1,0.943202242383509,-0.0864167576164915,0.0864167576164915,0.0864167576164915,0.00746785599694744,0.686877712222626,1.20090726891558,1,1.48718363338681,-0.0128163666131917,0.0128163666131917,0.0128163666131917,0.000164259253163736,1.46462831137916,1.51568256537915,1,1.80320450708825,0.00320450708824871,0.00320450708824871,0.00320450708824871,1.02688656786362e-05,1.77794418652894,1.83297682632152,1
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,9,69,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0707142857142857,465,233,503,199,FALSE,NA,TRUE,NA,0.656006330180704,-0.0371408698192959,0.0371408698192959,0.0371408698192959,0.00137944421093388,0.444877791302968,0.869953791608615,1,1.02990527079782,0.000286270797824839,0.000286270797824839,0.000286270797824839,8.19509696872699e-08,0.842354585185195,1.22389889395309,1,1.08451487033473,0.0548958703347262,0.0548958703347262,0.0548958703347262,0.00301355657980707,0.826229397877781,1.34079504045817,1,1.48492471341451,-0.0150752865854886,0.0150752865854886,0.0150752865854886,0.000227264265634613,1.41972548116466,1.51727056312924,1,1.80566739460354,0.00566739460354149,0.00566739460354149,0.00566739460354149,3.21193615922512e-05,1.77262373000709,1.84868577180531,1
7,"n1400-b1_2-b2_2p8-b3_2p8",1400,10,70,1,1,0.6931472,1.029619,1.029619,1.5,1.8,1,1.3,0.0600000000000001,475,220,489,216,FALSE,NA,TRUE,NA,0.575276612197317,-0.117870587802683,0.117870587802683,0.117870587802683,0.01389347546895,0.36430975859027,0.786345944015333,1,1.01055927087852,-0.0190597291214831,0.0190597291214831,0.0190597291214831,0.000363273274184312,0.827892192585583,1.19825265903246,1,1.2172098830755,0.187590883075501,0.187590883075501,0.187590883075501,0.0351903394130464,0.964383840548403,1.47380897280967,1,1.48332487938228,-0.0166751206177174,0.0166751206177174,0.0166751206177174,0.000278059647615423,1.45216892199851,1.51526214399626,1,1.76709879401038,-0.0329012059896194,0.0329012059896194,0.0329012059896194,0.00108248935557137,1.72106634988415,1.81989434945836,1
