"replicate_index","scenario_label","data_n","data_set_index","global_data_set_index","data_set_attempt","start_index","true_beta_1","true_beta_2","true_beta_3","true_gamma_1","true_gamma_2","gamma_start_1","gamma_start_2","censoring_proportion","treated_above","treated_below","control_above","control_below","skipped","skip_reason","converged","error","beta_1_value","beta_1_bias","beta_1_absolute_bias","beta_1_rmse","beta_1_squared_bias","beta_1_interval_lower","beta_1_interval_upper","beta_1_covered","beta_2_value","beta_2_bias","beta_2_absolute_bias","beta_2_rmse","beta_2_squared_bias","beta_2_interval_lower","beta_2_interval_upper","beta_2_covered","beta_3_value","beta_3_bias","beta_3_absolute_bias","beta_3_rmse","beta_3_squared_bias","beta_3_interval_lower","beta_3_interval_upper","beta_3_covered","gamma_1_value","gamma_1_bias","gamma_1_absolute_bias","gamma_1_rmse","gamma_1_squared_bias","gamma_1_interval_lower","gamma_1_interval_upper","gamma_1_covered","gamma_2_value","gamma_2_bias","gamma_2_absolute_bias","gamma_2_rmse","gamma_2_squared_bias","gamma_2_interval_lower","gamma_2_interval_upper","gamma_2_covered"
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,1,391,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.076,333,173,338,156,FALSE,NA,TRUE,NA,-0.0317694930398022,-0.0317694930398022,0.0317694930398022,0.0317694930398022,0.00100930068800604,-0.272217565898873,0.212327941964408,1,0.914310413590482,-0.115308586409518,0.115308586409518,0.115308586409518,0.0132960700997613,0.702643305571221,1.12843491992987,1,1.07628672294259,0.0466677229425856,0.0466677229425856,0.0466677229425856,0.00217787636464593,0.787503153474162,1.37083454268034,1,1.48792405583055,-0.0120759441694538,0.0120759441694538,0.0120759441694538,0.000145828427583765,1.45998328189657,1.55836132630051,1,1.78122283631857,-0.0187771636814298,0.0187771636814298,0.0187771636814298,0.000352581875919206,1.73900638930981,1.83009831897118,1
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,2,392,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.102,354,156,297,193,FALSE,NA,TRUE,NA,-0.214171776230389,-0.214171776230389,0.214171776230389,0.214171776230389,0.0458695497336796,-0.464212625132526,0.0332887886393603,1,1.00377692619138,-0.0258420738086189,0.0258420738086189,0.0258420738086189,0.000667812778730108,0.799263717728646,1.21612378043479,1,1.19105233892205,0.161433338922045,0.161433338922045,0.161433338922045,0.0260607229155199,0.891633824517499,1.49361988228995,1,1.51847251423497,0.01847251423497,0.01847251423497,0.01847251423497,0.000341233782161169,1.48718421980718,1.56056664254528,1,1.83247575622639,0.0324757562263864,0.0324757562263864,0.0324757562263864,0.00105467474247568,1.78857900348699,1.90272483895855,1
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,3,393,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.088,360,169,296,175,FALSE,NA,TRUE,NA,-0.0373670287513786,-0.0373670287513786,0.0373670287513786,0.0373670287513786,0.00139629483770636,-0.274304434700416,0.202560622328398,1,1.0000783591707,-0.0295406408293049,0.0295406408293049,0.0295406408293049,0.000872649460605993,0.787172421149745,1.21659017770908,1,1.01261514631144,-0.0170038536885622,0.0170038536885622,0.0170038536885622,0.000289131040262029,0.721062768357346,1.30428649426053,1,1.59441807369091,0.0944180736909122,0.0944180736909122,0.0944180736909122,0.00891477263950252,1.45517261018675,1.71724626031789,1,1.82813090678944,0.0281309067894406,0.0281309067894406,0.0281309067894406,0.000791347916796197,1.69370532518181,1.94325457297745,1
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,4,394,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.106,345,164,307,184,FALSE,NA,TRUE,NA,-0.00696441555238933,-0.00696441555238933,0.00696441555238933,0.00696441555238933,4.85030839863623e-05,-0.251572471330102,0.238090189328524,1,1.11811092062329,0.0884919206232899,0.0884919206232899,0.0884919206232899,0.00783082001559864,0.910269096636653,1.32900708508395,1,1.0043316674842,-0.0252873325158018,0.0252873325158018,0.0252873325158018,0.000639449185764729,0.711557780357643,1.29895937595681,1,1.52889875945511,0.0288987594551127,0.0288987594551127,0.0288987594551127,0.000835138298044464,1.48738505319044,1.58833701175187,1,1.84481805229595,0.04481805229595,0.04481805229595,0.04481805229595,0.00200865781160251,1.78936434144419,1.95705072366909,1
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,5,395,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.09,322,171,322,185,FALSE,NA,TRUE,NA,-0.00784982853719875,-0.00784982853719875,0.00784982853719875,0.00784982853719875,6.16198080634199e-05,-0.242092570372719,0.226930731879127,1,0.840130242976394,-0.189488757023606,0.189488757023606,0.189488757023606,0.0359059890383511,0.635512102569211,1.0504613932666,1,1.1311444902592,0.101525490259205,0.101525490259205,0.101525490259205,0.0103074251723719,0.845618163783835,1.41643853889245,1,1.47869254535016,-0.0213074546498415,0.0213074546498415,0.0213074546498415,0.000454007623655053,1.40868630783358,1.56352718996311,1,1.77511691625295,-0.0248830837470482,0.0248830837470482,0.0248830837470482,0.000619167856762613,1.7318039010571,1.83593693642581,1
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,6,396,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.097,316,179,315,190,FALSE,NA,TRUE,NA,0.0831358002849357,0.0831358002849357,0.0831358002849357,0.0831358002849357,0.00691156128901672,-0.145684892267792,0.317466334805531,1,1.01406880418879,-0.015550195811207,0.015550195811207,0.015550195811207,0.000241808589766879,0.809578375887009,1.22408567458819,1,1.01224736561229,-0.0173716343877133,0.0173716343877133,0.0173716343877133,0.000301773681300382,0.71936944144722,1.30347457774062,1,1.53173358375867,0.0317335837586712,0.0317335837586712,0.0317335837586712,0.0010070203381686,1.4778543320379,1.61012187759783,1,1.85481518750253,0.0548151875025253,0.0548151875025253,0.0548151875025253,0.00300470478093701,1.76148470171223,2.00160753914837,1
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,7,397,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.099,335,167,325,173,FALSE,NA,TRUE,NA,0.13111374014917,0.13111374014917,0.13111374014917,0.13111374014917,0.017190812855904,-0.11382656758816,0.374638920043646,1,1.15728182581514,0.127662825815141,0.127662825815141,0.127662825815141,0.0162977970951071,0.944824041396443,1.37863185242757,1,0.843340865258052,-0.186278134741948,0.186278134741948,0.186278134741948,0.0346995434829394,0.545578103073274,1.13718853303761,1,1.52736190025546,0.0273619002554599,0.0273619002554599,0.0273619002554599,0.000748673585589738,1.46956234334179,1.62299871296104,1,1.80055718271221,0.000557182712210613,0.000557182712210613,0.000557182712210613,3.10452574786375e-07,1.7378867164587,1.86413944750064,1
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,8,398,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.098,328,151,361,160,FALSE,NA,TRUE,NA,0.00306657752884029,0.00306657752884029,0.00306657752884029,0.00306657752884029,9.40389774038823e-06,-0.252318299020884,0.258882132587119,1,0.9350324822403,-0.0945865177597005,0.0945865177597005,0.0945865177597005,0.00894660934190614,0.720088552516398,1.15191554146004,1,1.07948348354909,0.049864483549088,0.049864483549088,0.049864483549088,0.00248646671961727,0.775188981053514,1.3820352899179,1,1.53422320670241,0.0342232067024053,0.0342232067024053,0.0342232067024053,0.00117122787699556,1.45529420837979,1.58339080188368,1,1.83295313529715,0.0329531352971473,0.0329531352971473,0.0329531352971473,0.00108590912591209,1.77015115189553,1.92222016146162,1
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,9,399,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.108,315,175,337,173,FALSE,NA,TRUE,NA,-0.0454656907781258,-0.0454656907781258,0.0454656907781258,0.0454656907781258,0.00206712903793216,-0.289331527602146,0.199178498362367,1,0.956507336277247,-0.0731116637227526,0.0731116637227526,0.0731116637227526,0.00534531537230885,0.746517848102565,1.16888040702539,1,1.1000128976282,0.0703938976281986,0.0703938976281986,0.0703938976281986,0.0049553008232893,0.799715729807594,1.39989774309598,1,1.47187094250127,-0.0281290574987347,0.0281290574987347,0.0281290574987347,0.000791243875767125,1.42567325333746,1.51121609323786,1,1.78747589967755,-0.0125241003224545,0.0125241003224545,0.0125241003224545,0.000156853088886906,1.7587711157225,1.85350544126472,1
40,"n1000-b1_1-b2_2p8-b3_2p8",1000,10,400,1,1,0,1.029619,1.029619,1.5,1.8,1,1.3,0.104,281,185,336,198,FALSE,NA,TRUE,NA,0.185278758524907,0.185278758524907,0.185278758524907,0.185278758524907,0.0343282183605307,-0.0452544564921298,0.414742062807116,1,1.23564050627645,0.206021506276453,0.206021506276453,0.206021506276453,0.0424448610484185,1.02751552614281,1.44272798826251,1,0.777230702635646,-0.252388297364354,0.252388297364354,0.252388297364354,0.0636998526464775,0.492524263189691,1.06284448767699,1,1.4979794958217,-0.00202050417829902,0.00202050417829902,0.00202050417829902,4.0824371345238e-06,1.47664471047976,1.52576164083768,1,1.78813881862244,-0.0118611813775595,0.0118611813775595,0.0118611813775595,0.000140687623671365,1.76234177717486,1.83167465192283,1
