"parameter","label","initial_value","reference_value","estimate","posterior_sd","empirical_bias","interval_95_lower","interval_95_upper","interval_95_width","interval_covers_reference","split_rhat","effective_sample_size"
"beta_treatment","Treatment",-0.509327165166681,,0.075511032722401,0.78256083656176,,-1.34428368063884,1.48710157332578,2.83138525396462,,1.00260413370598,1562.78581944815
"beta_subgroup","Biomarker-defined subgroup",-0.153868450757917,,0.238167086798442,0.498538651081385,,-0.737021061874653,1.0408567540623,1.77787781593696,,1.00170872681073,3203.40479986727
"beta_treatment_x_subgroup","Treatment x subgroup",0.363073671107096,,-0.304772415789955,0.835566591813775,,-1.74297698891334,1.22428737071114,2.96726435962447,,1.00321495479588,1331.22862888892
"gamma_bio30","HER-2 (bio30)",-0.6,,0.479594183650239,0.711451748110809,,-0.769980114665055,1.82107790420965,2.5910580188747,,1.00763585533579,664.955438505751
"gamma_bio3","CA19-9 (bio3)",0.5,,0.0105041365722355,0.722392748733,,-1.45730059226515,1.13514236585672,2.59244295812188,,1.00426144194718,666.00263865875
