"parameter","label","initial_value"
"beta_treatment","Treatment",-0.509327165166681
"beta_subgroup","Biomarker-defined subgroup",-0.153868450757917
"beta_treatment_x_subgroup","Treatment x subgroup",0.363073671107096
"gamma_bio30","HER-2 (bio30)",-0.6
"gamma_bio3","CA19-9 (bio3)",0.5
