"biomarker","label","gamma_estimate","score_definition"
"bio30","HER-2 (bio30)",0.479594183650239,"1 + biomarkers %*% gamma; above if score >= 0"
"bio3","CA19-9 (bio3)",0.0105041365722355,"1 + biomarkers %*% gamma; above if score >= 0"
