"biomarker","label","gamma_estimate","score_definition"
"bio30","HER-2 (bio30)",0.076447324907022,"1 + biomarkers %*% gamma; above if score >= 0"
"bio37","Axl (bio37)",-0.148727336727173,"1 + biomarkers %*% gamma; above if score >= 0"
